,player_id,perf_date,season,latest,player_url,player_positions,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,league_id,league_level,club_team_id,club_position,club_jersey_number,club_loaned_from,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url,best_position,2nd_position,value_million_eur
144296,226229,2022-09-26 00:00:00,2022.0,True,/player/226229/thilo-kehrer/230002,"CB, RB",76,79,9000000.0,50000.0,25,186,76,13.0,1.0,19.0,RCB,24.0,,Right,5,2,3,Medium/Medium,Lean (185+),17800000.0,,,75.0,44.0,65.0,66.0,76.0,78.0,64,37,73,73,32,64,54,38,66,66,72,77,67,73,64,65,86,73,80,40,78,76,53,59,41,69.0,75,78,79,9,9,14,10,12,,60+3,60+3,60+3,62,61,61,61,62,62+3,62+3,62+3,65+3,66+3,66+3,66+3,65+3,73+3,73+3,73+3,73+3,73+3,74+3,76+3,76+3,76+3,74+3,17+3,https://cdn.sofifa.net/players/226/229/23_120.png,CB, RB,9.0
144322,230918,2022-09-26 00:00:00,2022.0,True,/player/230918/trevoh-chalobah/230002,"CB, CDM, CM",76,82,11000000.0,64000.0,22,191,84,13.0,1.0,5.0,SUB,14.0,,Right,3,3,1,Medium/High,Lean (185+),22600000.0,,,64.0,47.0,65.0,68.0,76.0,76.0,53,44,72,75,40,69,49,43,70,72,62,66,51,75,55,55,61,67,82,50,74,77,49,64,42,68.0,76,78,76,5,5,9,9,7,,61+2,61+2,61+2,62,63,63,63,62,65+2,65+2,65+2,65+2,69+2,69+2,69+2,65+2,71+2,74+2,74+2,74+2,71+2,72+2,76+2,76+2,76+2,72+2,14+2,https://cdn.sofifa.net/players/230/918/23_120.png,CB, CDM,11.0
144323,231318,2022-09-26 00:00:00,2022.0,True,/player/231318/romain-perraud/230002,LB,76,80,10000000.0,38000.0,24,173,68,13.0,1.0,17.0,SUB,15.0,,Left,2,3,1,High/Medium,Normal (170-185),19800000.0,,"Power Free-Kick, Long Shot Taker (AI)",72.0,72.0,75.0,75.0,72.0,73.0,77,65,62,77,70,75,72,73,72,74,74,70,73,76,80,84,56,84,64,78,85,75,76,71,60,69.0,73,74,71,6,7,10,11,13,,72+2,72+2,72+2,74,74,74,74,74,74+2,74+2,74+2,74+2,75+2,75+2,75+2,74+2,75+2,75+2,75+2,75+2,75+2,74+2,72+2,72+2,72+2,74+2,17+2,https://cdn.sofifa.net/players/231/318/23_120.png,LB,,10.0
144324,231554,2022-09-26 00:00:00,2022.0,True,/player/231554/james-justin/230002,"LB, RB",76,79,9500000.0,52000.0,24,183,80,13.0,1.0,95.0,LB,2.0,,Right,4,3,1,High/High,Normal (170-185),18800000.0,,,81.0,50.0,69.0,72.0,73.0,70.0,73,53,65,72,42,73,60,60,65,74,77,85,67,74,70,54,64,77,68,40,66,70,66,67,43,66.0,73,77,75,13,7,6,5,14,,65+2,65+2,65+2,70,68,68,68,70,69+2,69+2,69+2,72+2,69+2,69+2,69+2,72+2,75+2,72+2,72+2,72+2,75+2,74+2,72+2,72+2,72+2,74+2,17+2,https://cdn.sofifa.net/players/231/554/23_120.png,LB, RB,9.5
144330,232999,2022-09-26 00:00:00,2022.0,True,/player/232999/tyler-adams/230002,"CDM, CM, RWB",76,80,10000000.0,29000.0,23,175,72,13.0,1.0,8.0,RDM,12.0,,Right,3,3,2,High/High,Normal (170-185),19800000.0,#Engine,Injury Prone,80.0,48.0,69.0,73.0,73.0,76.0,55,48,65,79,33,70,52,42,74,72,86,75,83,77,85,51,84,86,68,46,79,74,65,72,51,76.0,73,77,70,6,13,12,8,7,,64+2,64+2,64+2,69,68,68,68,69,71+2,71+2,71+2,71+2,73+2,73+2,73+2,71+2,74+2,75+2,75+2,75+2,74+2,74+2,73+2,73+2,73+2,74+2,16+2,https://cdn.sofifa.net/players/232/999/23_120.png,CDM, CM,10.0
144335,233866,2022-09-26 00:00:00,2022.0,True,/player/233866/odsonne-edouard/230002,"ST, LW",76,82,12000000.0,46000.0,24,187,83,13.0,1.0,1799.0,ST,22.0,,Right,4,4,1,High/Medium,Normal (185+),25200000.0,,"Finesse Shot, Flair, Long Shot Taker (AI), Chip Shot (AI), Technical Dribbler (AI)",79.0,75.0,68.0,79.0,45.0,75.0,58,79,72,73,62,80,75,77,58,79,77,81,79,69,79,77,73,77,82,69,55,39,74,74,76,82.0,44,46,28,7,6,13,11,13,,76+2,76+2,76+2,75,76,76,76,75,75+2,75+2,75+2,74+2,69+2,69+2,69+2,74+2,59+2,59+2,59+2,59+2,59+2,57+2,55+2,55+2,55+2,57+2,16+2,https://cdn.sofifa.net/players/233/866/23_120.png,ST, LW,12.0
144351,235794,2022-09-26 00:00:00,2022.0,True,/player/235794/eberechi-eze/230002,"CAM, CM, LM",76,81,11500000.0,42000.0,24,178,67,13.0,1.0,1799.0,RCM,10.0,,Right,3,4,1,Medium/Medium,Lean (170-185),22700000.0,,"Flair, Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)",75.0,70.0,74.0,81.0,47.0,67.0,70,71,49,78,55,82,71,68,69,80,76,75,82,73,79,68,67,74,68,72,58,49,72,76,69,79.0,36,57,40,10,12,9,14,10,,71+2,71+2,71+2,76,75,75,75,76,76+2,76+2,76+2,76+2,73+2,73+2,73+2,76+2,64+2,63+2,63+2,63+2,64+2,61+2,55+2,55+2,55+2,61+2,18+2,https://cdn.sofifa.net/players/235/794/23_120.png,CAM, CM,11.5
144352,235945,2022-09-26 00:00:00,2022.0,True,/player/235945/marc-roca-junque/230002,"CDM, CM",76,79,9000000.0,33000.0,25,184,77,13.0,1.0,8.0,LDM,8.0,,Left,3,3,1,Medium/Medium,Lean (170-185),17800000.0,,Long Passer (AI),45.0,62.0,76.0,72.0,70.0,67.0,65,59,42,81,44,72,66,52,85,76,48,42,68,70,65,66,57,70,66,68,69,74,60,80,68,74.0,73,72,71,12,11,11,10,8,,62+2,62+2,62+2,67,67,67,67,67,71+2,71+2,71+2,69+2,76+2,76+2,76+2,69+2,69+2,75+2,75+2,75+2,69+2,68+2,68+2,68+2,68+2,68+2,17+2,https://cdn.sofifa.net/players/235/945/23_120.png,CDM, CM,9.0
144354,236461,2022-09-26 00:00:00,2022.0,True,/player/236461/jean-philippe-mateta/230002,ST,76,79,10000000.0,51000.0,25,192,88,13.0,1.0,1799.0,SUB,14.0,,Right,4,3,1,Medium/Medium,Normal (185+),19800000.0,#Strength,Flair,71.0,74.0,57.0,73.0,34.0,78.0,41,78,78,70,74,76,53,39,45,75,64,77,61,76,51,77,77,66,86,64,74,22,76,63,72,71.0,35,31,22,8,8,7,13,11,,76+2,76+2,76+2,70,74,74,74,70,70+2,70+2,70+2,68+2,63+2,63+2,63+2,68+2,51+2,52+2,52+2,52+2,51+2,49+2,51+2,51+2,51+2,49+2,17+2,https://cdn.sofifa.net/players/236/461/23_120.png,ST,,10.0
144355,236532,2022-09-26 00:00:00,2022.0,True,/player/236532/robin-koch/230002,"CB, CDM",76,80,9500000.0,33000.0,25,191,83,13.0,1.0,8.0,RCB,5.0,,Right,4,2,2,Medium/High,Lean (185+),18800000.0,,"Injury Prone, Long Passer (AI)",62.0,38.0,60.0,64.0,77.0,73.0,40,27,76,74,29,60,31,28,71,70,53,69,62,75,55,56,66,69,76,42,73,77,52,64,38,74.0,78,78,76,9,6,15,8,6,,57+2,57+2,57+2,58,59,59,59,58,62+2,62+2,62+2,61+2,67+2,67+2,67+2,61+2,69+2,74+2,74+2,74+2,69+2,70+2,76+2,76+2,76+2,70+2,15+2,https://cdn.sofifa.net/players/236/532/23_120.png,CB, CDM,9.5
144365,239015,2022-09-26 00:00:00,2022.0,True,/player/239015/emmanuel-dennis/230002,"ST, LW, RW",76,80,11000000.0,52000.0,24,175,66,13.0,1.0,14.0,SUB,25.0,,Right,3,4,1,Medium/Low,Normal (170-185),21700000.0,#Acrobat,Technical Dribbler (AI),87.0,75.0,62.0,77.0,38.0,71.0,67,77,75,65,69,76,62,62,58,75,90,85,90,79,80,82,94,71,70,68,68,13,75,54,56,69.0,38,45,27,13,7,11,11,13,,76+2,76+2,76+2,75,74,74,74,75,71+2,71+2,71+2,73+2,64+2,64+2,64+2,73+2,56+2,53+2,53+2,53+2,56+2,55+2,51+2,51+2,51+2,55+2,18+2,https://cdn.sofifa.net/players/239/015/23_120.png,ST, LW,11.0
144367,239360,2022-09-26 00:00:00,2022.0,True,/player/239360/pascal-struijk/230002,"CB, CDM",76,83,14000000.0,29000.0,22,190,79,13.0,1.0,8.0,LB,21.0,,Left,4,2,1,Medium/High,Normal (185+),29400000.0,,Long Passer (AI),57.0,38.0,61.0,63.0,77.0,76.0,42,31,73,75,34,60,42,32,73,71,55,58,50,73,54,62,73,72,78,30,76,79,33,56,55,73.0,76,77,76,14,8,8,10,14,,55+2,55+2,55+2,55,56,56,56,55,58+2,58+2,58+2,59+2,65+2,65+2,65+2,59+2,69+2,74+2,74+2,74+2,69+2,70+2,76+2,76+2,76+2,70+2,18+2,https://cdn.sofifa.net/players/239/360/23_120.png,CB, CDM,14.0
144371,239817,2022-09-26 00:00:00,2022.0,True,/player/239817/boubakary-soumare/230002,"CDM, CM",76,81,10500000.0,52000.0,23,188,82,13.0,1.0,95.0,SUB,42.0,,Right,3,3,1,Medium/Medium,Lean (185+),20700000.0,,,68.0,56.0,73.0,74.0,70.0,80.0,65,51,60,78,53,75,65,53,77,78,66,69,62,76,69,64,70,79,84,58,76,73,68,77,52,77.0,71,72,69,11,6,13,5,10,,67+2,67+2,67+2,70,70,70,70,70,72+2,72+2,72+2,72+2,75+2,75+2,75+2,72+2,73+2,75+2,75+2,75+2,73+2,72+2,73+2,73+2,73+2,72+2,16+2,https://cdn.sofifa.net/players/239/817/23_120.png,CDM, CM,10.5
144372,239837,2022-09-26 00:00:00,2022.0,True,/player/239837/alexis-mac-allister/230002,"CAM, CM",76,82,12000000.0,49000.0,23,176,72,13.0,1.0,1808.0,RCM,10.0,,Right,3,3,1,Medium/Medium,Normal (170-185),25200000.0,,"Long Shot Taker (AI), Playmaker (AI)",69.0,77.0,78.0,75.0,56.0,62.0,79,77,61,77,73,75,83,81,76,78,73,66,71,74,72,76,64,68,63,80,51,45,77,77,77,74.0,65,54,51,7,10,14,15,10,,74+2,74+2,74+2,76,76,76,76,76,76+2,76+2,76+2,75+2,73+2,73+2,73+2,75+2,66+2,65+2,65+2,65+2,66+2,64+2,59+2,59+2,59+2,64+2,18+2,https://cdn.sofifa.net/players/239/837/23_120.png,CAM, CM,12.0
144381,240947,2022-09-26 00:00:00,2022.0,True,/player/240947/tyrick-mitchell/230002,LB,76,83,14500000.0,38000.0,22,180,70,13.0,1.0,1799.0,LB,3.0,,Left,3,2,1,High/High,Lean (170-185),30500000.0,,Speed Dribbler (AI),77.0,39.0,60.0,70.0,75.0,68.0,69,36,53,63,36,68,52,39,53,70,78,76,78,76,75,40,57,74,63,38,74,78,59,59,45,61.0,76,79,77,9,12,14,8,14,,56+2,56+2,56+2,64,61,61,61,64,63+2,63+2,63+2,66+2,64+2,64+2,64+2,66+2,74+2,71+2,71+2,71+2,74+2,74+2,72+2,72+2,72+2,74+2,18+2,https://cdn.sofifa.net/players/240/947/23_120.png,LB,,14.5
144384,241508,2022-09-26 00:00:00,2022.0,True,/player/241508/mikkel-damsgaard/230002,"LM, LW",76,85,17000000.0,33000.0,21,180,71,13.0,1.0,1925.0,SUB,24.0,,Right,3,4,2,High/Low,Lean (170-185),35700000.0,#Acrobat,"Flair, Long Shot Taker (AI), Speed Dribbler (AI), Technical Dribbler (AI)",84.0,68.0,71.0,81.0,48.0,62.0,63,70,51,73,48,82,66,82,70,80,90,79,91,68,87,71,72,71,56,72,64,45,72,76,47,74.0,52,46,40,6,10,14,11,7,,70+2,70+2,70+2,76,75,75,75,76,76+2,76+2,76+2,75+2,71+2,71+2,71+2,75+2,63+2,61+2,61+2,61+2,63+2,60+2,54+2,54+2,54+2,60+2,15+2,https://cdn.sofifa.net/players/241/508/23_120.png,LM, LW,17.0
144392,242434,2022-09-26 00:00:00,2022.0,True,/player/242434/curtis-jones/230002,CM,76,84,17000000.0,60000.0,21,185,75,13.0,1.0,9.0,SUB,17.0,,Right,4,4,1,High/Medium,Lean (185+),34900000.0,,"Flair, Long Shot Taker (AI)",68.0,68.0,72.0,80.0,64.0,71.0,63,64,50,78,60,80,68,47,75,81,69,68,77,74,76,74,57,79,68,72,71,67,70,76,60,80.0,65,67,60,6,13,7,11,7,,69+2,69+2,69+2,73,74,74,74,73,75+2,75+2,75+2,74+2,76+2,76+2,76+2,74+2,70+2,72+2,72+2,72+2,70+2,68+2,66+2,66+2,66+2,68+2,16+2,https://cdn.sofifa.net/players/242/434/23_120.png,CM,,17.0
144393,242619,2022-09-26 00:00:00,2022.0,True,/player/242619/cheick-doucoure/230002,"CM, CDM",76,78,10000000.0,42000.0,22,180,73,13.0,1.0,1799.0,CDM,28.0,,Right,3,3,1,Medium/High,Normal (170-185),19800000.0,,,68.0,57.0,71.0,76.0,74.0,76.0,54,56,58,79,48,76,59,47,77,79,66,69,72,76,71,59,66,78,77,56,75,76,67,77,52,77.0,72,80,74,10,14,12,12,15,,66+2,66+2,66+2,70,71,71,71,70,73+2,73+2,73+2,72+2,76+2,76+2,76+2,72+2,73+2,77+1,77+1,77+1,73+2,73+2,74+2,74+2,74+2,73+2,20+2,https://cdn.sofifa.net/players/242/619/23_120.png,CM, CDM,10.0
144394,242641,2022-09-26 00:00:00,2022.0,True,/player/242641/rayan-ait-nouri/230002,"LWB, LB",76,86,16000000.0,43000.0,21,180,70,13.0,1.0,110.0,LB,3.0,,Left,3,3,1,High/Medium,Lean (170-185),33600000.0,,Technical Dribbler (AI),77.0,44.0,70.0,76.0,73.0,62.0,75,42,62,71,39,78,72,58,66,76,78,76,74,70,76,46,57,74,56,44,65,72,62,67,42,69.0,73,77,74,15,11,8,14,12,,60+2,60+2,60+2,69,66,66,66,69,68+2,68+2,68+2,71+2,69+2,69+2,69+2,71+2,74+2,71+2,71+2,71+2,74+2,74+2,70+2,70+2,70+2,74+2,19+2,https://cdn.sofifa.net/players/242/641/23_120.png,LWB, LB,16.0
144396,243231,2022-09-26 00:00:00,2022.0,True,/player/243231/enock-mwepu/230002,"CM, CAM, CDM",76,82,12000000.0,49000.0,24,184,76,13.0,1.0,1808.0,SUB,8.0,,Right,3,3,1,High/High,Normal (170-185),25200000.0,,"Long Passer (AI), Long Shot Taker (AI)",82.0,75.0,72.0,75.0,72.0,78.0,66,74,61,77,71,77,66,58,72,75,78,85,75,75,65,79,73,85,75,78,78,74,75,76,59,76.0,72,74,70,15,7,12,14,8,,75+2,75+2,75+2,76,76,76,76,76,76+2,76+2,76+2,76+2,76+2,76+2,76+2,76+2,75+2,75+2,75+2,75+2,75+2,74+2,73+2,73+2,73+2,74+2,18+2,https://cdn.sofifa.net/players/243/231/23_120.png,CM, CAM,12.0
144398,243282,2022-09-26 00:00:00,2022.0,True,/player/243282/dwight-mcneil/230002,"LM, RM",76,81,11500000.0,33000.0,22,183,70,13.0,1.0,7.0,SUB,7.0,,Left,2,3,1,Medium/High,Lean (170-185),22700000.0,,"Solid Player, Long Shot Taker (AI), Technical Dribbler (AI)",70.0,65.0,75.0,79.0,53.0,66.0,77,64,59,76,57,80,77,74,71,79,73,68,76,75,76,68,68,78,64,66,57,46,73,75,62,76.0,57,54,44,6,14,14,12,14,,70+2,70+2,70+2,74,73,73,73,74,75+2,75+2,75+2,75+2,73+2,73+2,73+2,75+2,66+2,64+2,64+2,64+2,66+2,63+2,58+2,58+2,58+2,63+2,19+2,https://cdn.sofifa.net/players/243/282/23_120.png,LM, RM,11.5
144403,244380,2022-09-26 00:00:00,2022.0,True,/player/244380/vitaliy-mykolenko/230002,"LB, LWB",76,83,14500000.0,29000.0,23,180,71,13.0,1.0,7.0,LWB,19.0,,Left,2,2,1,High/Medium,Normal (170-185),30500000.0,,,76.0,46.0,64.0,61.0,73.0,62.0,76,44,66,72,46,54,60,32,55,66,75,77,69,73,67,47,66,77,57,53,57,72,41,52,35,59.0,76,73,76,9,8,14,9,14,,57+2,57+2,57+2,62,58,58,58,62,60+2,60+2,60+2,63+2,62+2,62+2,62+2,63+2,73+2,69+2,69+2,69+2,73+2,74+2,70+2,70+2,70+2,74+2,17+2,https://cdn.sofifa.net/players/244/380/23_120.png,LB, LWB,14.5
144404,244621,2022-09-26 00:00:00,2022.0,True,/player/244621/carlos-vinicius-alves-morais/230002,ST,76,77,9000000.0,55000.0,27,190,83,13.0,1.0,144.0,SUB,30.0,,Left,3,3,2,High/Medium,Normal (185+),17800000.0,,,71.0,76.0,61.0,73.0,41.0,79.0,51,78,70,71,73,73,65,48,47,77,66,75,66,75,44,83,52,76,83,68,81,41,77,65,71,80.0,44,33,25,15,13,13,7,6,,76+1,76+1,76+1,71,74,74,74,71,71+2,71+2,71+2,70+2,66+2,66+2,66+2,70+2,56+2,57+2,57+2,57+2,56+2,54+2,54+2,54+2,54+2,54+2,18+2,https://cdn.sofifa.net/players/244/621/23_120.png,ST,,9.0
144412,246791,2022-09-26 00:00:00,2022.0,True,/player/246791/manor-solomon/230002,"LM, RM, CAM",76,85,17000000.0,900.0,22,170,67,13.0,1.0,144.0,SUB,11.0,Shakhtar Donetsk,Right,4,4,1,High/High,Normal (170-),,,Technical Dribbler (AI),80.0,71.0,74.0,79.0,43.0,57.0,72,72,38,78,46,83,75,72,71,74,82,79,84,66,82,75,55,66,64,71,30,35,74,73,58,78.0,50,47,35,12,11,9,13,10,,70+2,70+2,70+2,76,74,74,74,76,75+2,75+2,75+2,75+2,70+2,70+2,70+2,75+2,61+2,58+2,58+2,58+2,61+2,57+2,49+2,49+2,49+2,57+2,17+2,https://cdn.sofifa.net/players/246/791/23_120.png,LM, RM,17.0
144417,247827,2022-09-26 00:00:00,2022.0,True,/player/247827/michael-olise/230002,"RW, RM, CAM",76,86,16500000.0,40000.0,20,178,68,13.0,1.0,1799.0,SUB,7.0,,Left,2,4,1,Medium/Medium,Lean (170-185),34700000.0,#Acrobat,"Finesse Shot, Flair, Long Passer (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",80.0,70.0,76.0,80.0,50.0,53.0,75,70,36,76,58,80,76,68,74,79,82,78,91,73,87,74,51,67,41,68,66,48,69,78,67,72.0,52,56,46,9,11,9,10,10,,68+2,68+2,68+2,76,75,75,75,76,76+2,76+2,76+2,76+2,73+2,73+2,73+2,76+2,66+2,64+2,64+2,64+2,66+2,62+2,54+2,54+2,54+2,62+2,17+2,https://cdn.sofifa.net/players/247/827/23_120.png,RW, RM,16.5
144450,171972,2022-09-26 00:00:00,2022.0,True,/player/171972/james-mcarthur/230002,"CDM, CM",75,75,1900000.0,42000.0,34,178,66,13.0,1.0,1799.0,SUB,18.0,,Right,3,3,1,High/High,Normal (170-185),3600000.0,,,52.0,67.0,71.0,72.0,74.0,68.0,66,68,66,75,57,70,58,61,73,75,54,51,65,77,71,65,68,68,60,67,88,74,75,71,64,80.0,76,76,71,9,9,9,9,9,,68+2,68+2,68+2,69,70,70,70,69,71+2,71+2,71+2,69+2,73+2,73+2,73+2,69+2,70+2,74+1,74+1,74+1,70+2,70+2,73+2,73+2,73+2,70+2,16+2,https://cdn.sofifa.net/players/171/972/23_120.png,CDM, CM,1.9
144451,172723,2022-09-26 00:00:00,2022.0,True,/player/172723/asmir-begovic/230002,GK,75,75,625000.0,17000.0,35,199,101,13.0,1.0,7.0,SUB,15.0,,Right,2,1,3,Medium/Medium,Lean (185+),1200000.0,,"Comes For Crosses, Saves with Feet",,,,,,,14,19,12,26,12,16,17,15,32,24,42,44,42,70,40,55,38,36,79,12,42,21,11,34,40,58.0,18,11,12,75,77,73,73,71,43.0,30+3,30+3,30+3,27,28,28,28,27,28+3,28+3,28+3,28+3,28+3,28+3,28+3,28+3,26+3,29+3,29+3,29+3,26+3,26+3,28+3,28+3,28+3,26+3,74+1,https://cdn.sofifa.net/players/172/723/23_120.png,GK,,0.625
144466,180819,2022-09-26 00:00:00,2022.0,True,/player/180819/adam-lallana/230002,CM,75,75,2600000.0,53000.0,34,178,73,13.0,1.0,1808.0,LF,14.0,,Right,5,4,2,High/Medium,Lean (170-185),4900000.0,,"Injury Prone, Playmaker (AI), Technical Dribbler (AI)",61.0,70.0,77.0,77.0,62.0,61.0,74,70,64,80,72,77,77,66,76,80,68,55,70,75,75,72,68,54,60,69,71,64,73,80,70,80.0,61,63,60,6,15,14,8,11,,71+2,71+2,71+2,74,74,74,74,74,76-1,76-1,76-1,74+1,75,75,75,74+1,67+2,69+2,69+2,69+2,67+2,66+2,65+2,65+2,65+2,66+2,17+2,https://cdn.sofifa.net/players/180/819/23_120.png,CM,,2.6
144471,183130,2022-09-26 00:00:00,2022.0,True,/player/183130/marc-albrighton/230002,"RM, RWB, RW",75,75,4500000.0,63000.0,32,175,74,13.0,1.0,95.0,SUB,11.0,,Right,3,3,2,High/High,Lean (170-185),8600000.0,,"Early Crosser, Long Passer (AI), Team Player",65.0,68.0,76.0,76.0,61.0,65.0,84,67,45,74,72,77,80,73,72,77,68,63,70,74,78,73,61,66,60,67,75,56,72,76,60,70.0,69,62,57,15,9,8,15,14,,68+2,68+2,68+2,74,72,72,72,74,73+2,73+2,73+2,74+1,72+2,72+2,72+2,74+1,69+2,68+2,68+2,68+2,69+2,66+2,63+2,63+2,63+2,66+2,20+2,https://cdn.sofifa.net/players/183/130/23_120.png,RM, RWB,4.5
144479,186146,2022-09-26 00:00:00,2022.0,True,/player/186146/danny-welbeck/230002,ST,75,75,4800000.0,58000.0,31,185,73,13.0,1.0,1808.0,ST,18.0,,Right,3,3,2,High/High,Normal (185+),9100000.0,,"Injury Prone, Speed Dribbler (AI), Team Player",70.0,73.0,67.0,74.0,42.0,66.0,69,76,78,66,69,75,61,62,64,78,67,73,67,72,61,77,79,50,70,63,75,32,78,70,71,77.0,43,38,33,9,10,6,12,16,,75,75,75,73,74,74,74,73,72+2,72+2,72+2,71+2,66+2,66+2,66+2,71+2,55+2,55+2,55+2,55+2,55+2,54+2,54+2,54+2,54+2,54+2,18+2,https://cdn.sofifa.net/players/186/146/23_120.png,ST,,4.8
144480,186156,2022-09-26 00:00:00,2022.0,True,/player/186156/luke-ayling/230002,"RB, CB",75,75,4800000.0,33000.0,30,185,72,13.0,1.0,8.0,SUB,2.0,,Right,3,3,2,High/High,Lean (185+),9100000.0,,"Leadership, Long Passer (AI), Team Player",64.0,57.0,64.0,72.0,75.0,75.0,68,52,65,72,49,74,45,43,63,72,62,66,63,73,61,67,76,83,74,62,66,73,67,59,38,74.0,75,78,77,9,11,11,9,8,,65+2,65+2,65+2,67,67,67,67,67,67+2,67+2,67+2,69+2,69+2,69+2,69+2,69+2,73+2,72+2,72+2,72+2,73+2,73+2,73+2,73+2,73+2,73+2,16+2,https://cdn.sofifa.net/players/186/156/23_120.png,RB, CB,4.8
144487,189324,2022-09-26 00:00:00,2022.0,True,/player/189324/alex-mccarthy/230002,GK,75,75,2800000.0,34000.0,32,193,79,13.0,1.0,17.0,SUB,1.0,,Right,2,1,1,Medium/Medium,Lean (185+),5300000.0,,,,,,,,,11,17,16,33,12,17,15,18,35,17,58,56,35,74,43,46,68,35,63,14,35,22,16,50,41,61.0,13,13,12,74,72,61,72,80,57.0,31+2,31+2,31+2,29,31,31,31,29,32+2,32+2,32+2,31+2,32+2,32+2,32+2,31+2,28+2,30+2,30+2,30+2,28+2,27+2,28+2,28+2,28+2,27+2,74+1,https://cdn.sofifa.net/players/189/324/23_120.png,GK,,2.8
144495,190362,2022-09-26 00:00:00,2022.0,True,/player/190362/teemu-pukki/230002,ST,75,75,4600000.0,43000.0,32,180,80,14.0,2.0,1792.0,ST,22.0,,Right,3,3,1,High/High,Normal (170-185),8700000.0,,Finesse Shot,77.0,76.0,62.0,73.0,36.0,73.0,45,79,63,71,74,72,53,42,61,73,78,77,74,80,72,75,68,85,71,66,64,54,83,72,79,79.0,30,29,16,13,8,8,9,7,,75,75,75,72,75,75,75,72,74+1,74+1,74+1,72+2,69+2,69+2,69+2,72+2,57+2,58+2,58+2,58+2,57+2,53+2,50+2,50+2,50+2,53+2,17+2,https://cdn.sofifa.net/players/190/362/23_120.png,ST,,4.6
144507,193331,2022-09-26 00:00:00,2022.0,True,/player/193331/karl-darlow/230002,GK,75,75,3000000.0,50000.0,31,190,88,13.0,1.0,13.0,RES,26.0,,Right,2,1,1,Medium/Medium,Normal (185+),5700000.0,,GK Long Throw,,,,,,,12,14,12,36,15,14,19,16,30,31,60,54,64,68,64,51,69,44,60,11,13,26,18,37,19,53.0,17,11,12,77,71,68,74,78,58.0,31+2,31+2,31+2,31,32,32,32,31,32+2,32+2,32+2,32+2,32+2,32+2,32+2,32+2,30+2,30+2,30+2,30+2,30+2,29+2,27+2,27+2,27+2,29+2,74+1,https://cdn.sofifa.net/players/193/331/23_120.png,GK,,3.0
144510,194201,2022-09-26 00:00:00,2022.0,True,/player/194201/pontus-jansson/230002,CB,75,75,3800000.0,38000.0,31,194,86,13.0,1.0,1925.0,RCB,18.0,,Right,3,2,1,Medium/Medium,Normal (185+),7200000.0,#Strength,Leadership,53.0,42.0,54.0,62.0,75.0,79.0,29,29,71,69,41,60,49,40,62,67,50,55,53,75,35,68,56,67,86,50,80,74,28,50,39,75.0,77,76,73,9,5,14,6,7,,54+2,54+2,54+2,52,54,54,54,52,56+2,56+2,56+2,54+2,62+2,62+2,62+2,54+2,65+2,71+2,71+2,71+2,65+2,66+2,75,75,75,66+2,15+2,https://cdn.sofifa.net/players/194/201/23_120.png,CB,,3.8
144516,195202,2022-09-26 00:00:00,2022.0,True,/player/195202/tom-cairney/230002,"CM, CAM",75,75,4600000.0,49000.0,31,186,84,13.0,1.0,144.0,SUB,10.0,,Left,2,3,1,Medium/Low,Normal (185+),8700000.0,,"Playmaker (AI), Outside Foot Shot, Team Player",58.0,73.0,77.0,76.0,62.0,64.0,76,71,58,80,72,76,76,73,77,79,64,53,74,75,69,74,42,65,68,76,56,62,74,75,65,78.0,65,63,51,14,12,7,6,7,,71+2,71+2,71+2,74,74,74,74,74,75,75,75,74+1,75,75,75,74+1,67+2,69+2,69+2,69+2,67+2,65+2,63+2,63+2,63+2,65+2,17+2,https://cdn.sofifa.net/players/195/202/23_120.png,CM, CAM,4.6
